Strike,S,T_days,BidCall,AskCall,BidPut,AskPut,CallLower,CallUpper,Call_Violate_NoTC,Call_Violate_WithTC,PutLower,PutUpper,Put_Violate_NoTC,Put_Violate_WithTC
1.8,1.9585,7,0.1547,0.1554,0.0027,0.0035,0.15238262590694407,1.951002333484056,False,True,0.0,1.798619707577112,False,True
1.85,1.9585,7,0.1072,0.1167,0.0076,0.0083,0.10242096736313555,1.951002333484056,False,True,0.0,1.8485813661209205,False,True
1.9,1.9585,7,0.07,0.0718,0.0192,0.0205,0.05245930881932703,1.951002333484056,False,True,0.0,1.898543024664729,False,True
1.95,1.9585,7,0.0422,0.0425,0.04,0.0407,0.0024976502755182928,1.951002333484056,False,True,0.0,1.9485046832085378,False,True
2.0,1.9585,7,0.0227,0.0243,0.0667,0.072,0.0,1.951002333484056,False,True,0.04746400826829045,1.9984663417523465,False,True
2.05,1.9585,7,0.0112,0.0119,0.1078,0.1112,0.0,1.951002333484056,False,True,0.09742566681209897,2.048428000296155,False,True
2.1,1.9585,7,0.0059,0.0076,0.143,0.1599,0.0,1.951002333484056,False,True,0.14738732535590793,2.098389658839964,True,True
2.15,1.9585,7,0.0024,0.0029,0.1819,0.208,0.0,1.951002333484056,False,True,0.19734898389971645,2.1483513173837725,True,True
2.2,1.9585,7,0.0011,0.0015,0.2444,0.2581,0.0,1.951002333484056,False,True,0.2473106424435254,2.1983129759275815,True,True
2.25,1.9585,7,0.0006,0.0009,0.2533,0.383,0.0,1.951002333484056,False,True,0.2972723009873339,2.24827463447139,True,True
2.3,1.9585,7,0.0004,0.0007,0.2977,0.4331,0.0,1.951002333484056,False,True,0.34723395953114244,2.2982362930151985,True,True
2.35,1.9585,7,0.0003,0.0005,0.3599,0.4829,0.0,1.951002333484056,False,True,0.39719561807495096,2.348197951559007,True,True
2.4,1.9585,7,0.0002,0.0004,0.3912,0.4682,0.0,1.951002333484056,False,True,0.4471572766187595,2.3981596101028155,True,True
2.45,1.9585,7,0.0001,0.0004,0.4803,0.5824,0.0,1.951002333484056,False,True,0.49711893516256844,2.4481212686466245,True,True
2.5,1.9585,7,0.0001,0.0004,0.4828,0.6251,0.0,1.951002333484056,False,True,0.547080593706377,2.498082927190433,True,True
2.55,1.9585,7,0.0002,0.0004,0.533,0.675,0.0,1.951002333484056,False,True,0.5970422522501855,2.5480445857342415,True,True
2.6,1.9585,7,0.0001,0.0003,0.5827,0.725,0.0,1.951002333484056,False,True,0.6470039107939944,2.5980062442780505,True,True
